name,sector,amount_raised,giants,no_budget,competition,poor_market_fit,acquisition_stagnation,platform_dependency,monetization_failure,niche_limits,execution_flaws,trend_shifts,trust_issue,regulatory_pressure,overhype,start_year,end_year
Gigya,Information,104.6,0,1,0,0,0,1,0,0,0,0,0,0,1,2006,2018
Gimlet,Information,28.5,0,0,0,0,1,0,1,0,0,0,0,0,0,2014,2021
Gowalla,Information,10.4,0,0,0,1,0,1,0,0,0,0,0,0,0,2007,2012
Grooveshark,Information,4.9,1,1,0,1,0,0,0,0,0,0,0,0,1,2006,2017
GroupMe,Information,11.5,1,0,0,0,0,1,0,0,0,0,0,0,0,2010,2015
HootSuite Media,Information,249.9,1,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Houseparty,Information,70,0,1,0,1,0,1,0,0,0,0,1,0,0,2016,2021
Huddle,Information,89.2,0,1,1,0,1,0,1,0,0,0,0,0,0,2006,2018
Hulu Japan,Information,680,1,1,0,1,0,0,0,0,0,0,0,0,0,2011,2019
IFTTT,Information,62.5,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,2022
Inkling,Information,48,1,1,0,1,0,0,0,0,0,0,0,0,0,2009,2020
Instagram Live,Information,57.5,1,1,0,1,0,0,0,0,0,0,0,0,0,2016,2021
Intercom,Information,240.8,1,0,1,0,0,0,0,0,0,0,0,0,0,2011,2023
Invision,Information,350,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2023
Jawbone,Information,930,1,1,0,1,0,0,0,0,0,1,0,0,0,1999,2017
Jetpac,Information,4.4,1,0,0,0,0,1,0,0,1,0,0,0,0,2011,2016
Kik,Information,120.5,1,1,0,1,0,0,0,0,0,0,0,1,0,2009,2022
Knewton,Information,182.3,1,0,0,1,0,1,0,1,0,0,0,0,0,2008,2020
Mailbox,Information,5.3,1,0,0,0,0,1,0,0,0,0,0,0,0,2012,2015
Maker Media,Information,10,0,0,1,0,0,0,0,1,0,0,1,0,0,2005,2019
Medium One,Information,3,0,1,0,1,0,0,0,0,0,0,0,0,0,2014,2020
Milk,Information,1.5,1,0,0,0,1,1,0,0,0,0,0,0,0,2011,2014
Mixpanel,Information,277,1,0,1,0,0,0,0,0,0,0,0,0,0,2009,2023
Mobli,Information,86,1,0,1,0,0,0,0,0,0,0,0,0,0,2010,2017
Music.ly,Information,16.1,1,0,0,0,1,0,0,0,0,0,0,0,0,2014,2018
MySpace,Information,12.8,0,1,0,1,0,0,0,0,0,1,0,0,0,2003,2018
Netscape,Information,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1994,2003
NewsTilt,Information,0.5,1,0,1,0,1,0,0,0,0,0,0,0,0,2010,2012
Notion AI,Information,343,0,0,1,0,0,0,0,0,0,0,0,0,0,2018,2023
Nuzzel,Information,5.1,0,1,0,1,0,1,1,0,0,0,0,0,0,2012,2019
Path,Information,59,1,1,0,1,0,0,0,0,1,0,0,1,0,2010,2018
Periscope,Information,1.5,1,0,1,0,0,0,0,0,0,1,0,0,0,2015,2020
Photobucket,Information,15,0,1,0,1,0,0,0,0,0,0,1,0,0,2003,2018
Pinterest UK,Information,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
Piston Cloud,Information,12.5,1,1,0,1,0,1,0,0,0,0,0,0,0,2011,2017
Plex,Information,60,1,0,1,0,0,0,1,1,0,0,0,0,0,2008,2023
Pocket,Information,14.5,0,0,0,1,0,1,0,1,0,0,0,0,0,2007,2018
Pulse,Information,10,0,0,0,1,0,1,0,0,0,0,0,0,0,2010,2017
Quibb,Information,0.75,1,1,1,1,0,0,0,0,1,0,0,0,0,2013,2019
Quid,Information,79,1,0,1,0,1,0,0,0,0,0,0,0,0,2008,2020
Quixey,Information,165,1,0,0,0,0,0,0,0,0,1,0,0,1,2009,2017
Rap Genius,Information,56.8,0,1,0,1,0,0,0,1,0,0,0,0,0,2009,2020
Readability,Information,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2009,2015
Refresh,Information,10,0,1,0,0,0,1,0,0,0,0,0,0,0,2011,2016
RethinkDB,Information,12.2,1,0,0,1,0,0,0,1,0,0,0,0,0,2009,2019
Riffsy,Information,13,1,1,0,0,0,1,0,0,0,0,0,0,0,2013,2019
Rockmelt,Information,40,1,1,0,1,0,1,0,0,0,0,0,0,0,2009,2014
Secret,Information,35,1,0,0,1,0,0,0,0,0,0,0,1,0,2014,2018
ShareThis,Information,64,1,0,0,0,0,1,0,0,0,0,0,0,0,2007,2020
Songza,Information,6.7,0,1,0,1,0,1,0,0,0,0,0,0,0,2007,2017
SoundCloud Go,Information,543,1,0,1,0,0,0,1,0,0,0,0,0,0,2016,2022
Soundwave,Information,2.5,1,0,1,0,0,0,0,1,0,0,0,0,0,2012,2016
Spoke,Information,28,1,0,1,0,0,0,0,0,0,0,0,0,0,2015,2021
Substack Local,Information,82.4,0,0,0,0,0,0,0,1,1,0,0,0,0,2020,2023
Tango,Information,367,1,0,1,0,0,0,0,0,0,0,0,0,0,2009,2020
Tasty Labs,Information,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,2009,2014
TinyChat,Information,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,2009,2018
Tinder Social,Information,50,0,0,1,1,0,0,0,0,0,0,0,0,0,2016,2021
TokBox,Information,26,0,1,0,1,0,1,0,0,0,0,0,0,0,2007,2018
Top Hat,Information,130.7,1,0,1,0,0,0,0,1,0,0,0,0,0,2009,2022
Topix,Information,15,1,0,0,0,0,0,0,0,0,1,1,0,0,2004,2018
Trello Gold,Information,10,0,0,1,0,0,0,1,0,0,0,0,0,0,2017,2022
Tumblr,Information,125,1,1,0,0,0,0,0,0,0,1,0,0,0,2007,2020
Treehouse,Information,24.6,1,0,1,0,1,0,0,0,0,0,0,0,0,2011,2022
TuneIn Premium,Information,147.5,1,0,1,0,0,0,1,0,0,0,0,0,0,2015,2021
Twilio SendGrid,Information,80.9,1,0,1,0,0,0,0,0,0,0,0,0,0,2015,2023
Twitter Fabric,Information,645,1,0,1,0,1,0,0,0,0,0,0,0,0,2014,2020
Twitter Music,Information,645,1,0,1,0,0,0,0,0,0,0,0,0,0,2013,2015
Udacity Blitz,Information,163,0,0,1,0,0,0,0,0,0,0,0,0,0,2017,2022
Vdio,Information,2,1,0,1,0,0,0,0,0,0,1,0,0,0,2013,2015
Vine,Information,645,0,1,0,1,0,1,0,0,0,0,0,0,0,2012,2017
VisiCalc,Information,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,1979,1984
Whisper,Information,61,0,1,0,1,0,0,0,0,0,0,0,1,0,2012,2020
WhoSay,Information,12,1,0,0,0,1,0,0,0,0,0,0,0,0,2010,2019
Wickr,Information,73,1,0,0,1,0,1,0,0,0,0,0,0,0,2012,2020
Wishbone,Information,8,1,0,1,0,0,0,0,1,0,1,0,0,0,2013,2019
Woo,Information,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,2013,2018
Workable,Information,84,0,0,1,0,0,0,0,0,0,0,0,0,0,2012,2022
Xmarks,Information,2,1,0,0,0,1,0,0,0,0,1,0,0,0,2006,2014
Xobni,Information,41.8,1,1,0,0,0,1,0,0,0,0,0,0,0,2006,2013
Yahoo Answers,Information,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2005,2020
Yahoo Buzz,Information,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2008,2012
Yahoo Groups,Information,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1998,2013
Yahoo Live,Information,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2008,2010
Yammer,Information,142,1,1,0,1,0,1,0,0,0,0,0,0,0,2008,2018
Yik Yak,Information,73.5,1,1,0,1,0,1,0,0,0,0,0,1,0,2013,2018
Yo,Information,1.5,1,0,1,0,1,0,0,0,0,0,0,0,0,2014,2018
Yola,Information,25,1,0,1,0,0,0,0,0,0,0,0,0,0,2007,2020
YouNow,Information,30,1,0,1,0,1,0,0,0,0,0,0,0,0,2011,2022
Zapier Plus,Information,1.4,0,0,1,0,0,0,1,0,0,0,0,0,0,2018,2023
Zencoder,Information,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2010,2017
Zendesk Chat,Information,85.5,1,0,1,0,0,0,0,0,0,0,0,0,0,2015,2023
Ziddu,Information,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2007,2019
Zombie Labs,Information,1.5,1,1,1,0,0,0,0,1,0,0,0,0,0,2015,2020
Zoomdata,Information,47.2,1,0,1,0,1,0,0,0,0,0,0,0,0,2012,2021
Zopim,Information,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2008,2016
Zscaler Shift,Information,33,1,0,1,0,0,0,0,0,0,0,0,0,0,2018,2023
Zulily,Information,138,1,0,1,0,1,0,0,0,0,1,0,0,0,2009,2019
Zume,Information,375,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,2022
Zumper Pro,Information,171,1,0,1,0,0,0,1,0,0,0,0,0,0,2015,2021
Zurb,Information,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1998,2013
Zuuka,Information,2.5,1,0,1,0,0,0,0,1,0,0,0,0,0,2009,2017
Zynga Games,Information,866,1,1,0,0,0,1,1,0,0,0,1,0,0,2007,2019
Bitpass,Information,1.5,0,1,1,1,0,0,0,0,0,0,0,0,0,2002,2008
Blync,Information,2,1,0,1,0,0,0,0,0,0,1,0,0,0,2013,2018
BountyJobs,Information,23.5,1,0,1,0,0,0,0,0,0,0,0,0,0,2006,2021
BranchOut,Information,49,1,0,1,0,0,1,0,0,0,0,0,0,0,2010,2017
Burstly,Information,7.3,0,1,0,0,0,1,0,0,0,0,0,0,0,2008,2014
CloudHammer,Information,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2007,2012
Crunchyroll,Information,4.05,1,0,1,0,1,0,0,0,0,0,0,0,0,2006,2021
Curse,Information,58,1,1,0,1,0,1,0,0,0,0,0,0,0,2006,2020
DailyBurn,Information,0.525,0,1,1,1,0,1,0,0,0,0,0,0,0,2007,2019
Dailylook,Information,3.5,1,0,1,0,0,0,0,0,0,0,0,0,0,2011,2020
Datto,Information,100,0,0,1,0,1,0,0,0,0,0,0,0,0,2007,2022
Deem,Information,100,1,0,1,0,1,0,0,0,0,0,0,0,0,2000,2014
Detour,Information,3,1,1,0,1,0,1,0,0,0,0,0,0,0,2013,2019
Disruptive Media,Information,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2012,2017
Divshot,Information,1.8,1,1,0,1,0,1,0,0,0,0,0,0,0,2011,2016
Drawbridge,Information,46.5,0,1,0,1,0,1,0,0,0,0,0,0,1,2011,2021
Dunwello,Information,1.2,1,0,1,0,0,0,0,1,0,0,0,0,0,2013,2018
Everalbum,Information,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2013,2019
Friend.ly,Information,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2010,2013
Frontback,Information,3,1,0,1,0,0,0,0,1,0,0,0,0,0,2013,2016
Froyo,Information,1.5,1,0,1,0,0,0,0,1,0,0,0,0,0,2012,2016
GoAnimate,Information,10,1,0,1,0,1,0,0,0,0,0,0,0,0,2007,2021
Hitpost,Information,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2009,2013
Homer,Information,2.2,1,0,1,0,1,0,0,0,0,0,0,0,0,2013,2019
Hot Potato,Information,1.4,0,0,0,1,0,1,0,0,0,0,0,0,0,2009,2011
Humanoid,Information,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2012,2017
